Município1;Código Município IBGE;UF1;Data;Média de Índice De Isolamento
AMERICANA;3501608;SP;quinta-feira, 02/04;53%
AMERICANA;3501608;SP;quarta-feira, 01/04;54%
AMERICANA;3501608;SP;terça-feira, 31/03;54%
AMERICANA;3501608;SP;segunda-feira, 30/03;54%
AMERICANA;3501608;SP;domingo, 29/03;59%
AMERICANA;3501608;SP;sábado, 28/03;56%
AMERICANA;3501608;SP;sexta-feira, 27/03;52%
AMERICANA;3501608;SP;quinta-feira, 26/03;54%
AMERICANA;3501608;SP;quarta-feira, 25/03;54%
AMERICANA;3501608;SP;terça-feira, 24/03;53%
AMERICANA;3501608;SP;segunda-feira, 23/03;51%
AMERICANA;3501608;SP;domingo, 22/03;56%
AMERICANA;3501608;SP;sábado, 21/03;57%
AMERICANA;3501608;SP;sexta-feira, 20/03;43%
AMERICANA;3501608;SP;quinta-feira, 19/03;42%
AMERICANA;3501608;SP;quarta-feira, 18/03;41%
AMERICANA;3501608;SP;terça-feira, 17/03;39%
AMERICANA;3501608;SP;sexta-feira, 13/03;34%
AMERICANA;3501608;SP;quinta-feira, 12/03;31%
AMERICANA;3501608;SP;sexta-feira, 06/03;34%
AMERICANA;3501608;SP;quinta-feira, 05/03;35%
AMPARO;3501905;SP;domingo, 06/09;41%
AMPARO;3501905;SP;sábado, 05/09;39%
AMPARO;3501905;SP;sexta-feira, 04/09;37%
AMPARO;3501905;SP;quinta-feira, 03/09;38%
AMPARO;3501905;SP;quarta-feira, 02/09;38%
AMPARO;3501905;SP;terça-feira, 01/09;38%
AMPARO;3501905;SP;segunda-feira, 31/08;40%
AMPARO;3501905;SP;domingo, 30/08;47%
AMPARO;3501905;SP;sábado, 29/08;38%
AMPARO;3501905;SP;sexta-feira, 28/08;38%
AMPARO;3501905;SP;quinta-feira, 27/08;39%
AMPARO;3501905;SP;quarta-feira, 26/08;39%
AMPARO;3501905;SP;terça-feira, 25/08;39%
AMPARO;3501905;SP;segunda-feira, 24/08;39%
AMPARO;3501905;SP;domingo, 23/08;47%
AMPARO;3501905;SP;sábado, 22/08;40%
AMPARO;3501905;SP;sexta-feira, 21/08;40%
AMPARO;3501905;SP;quinta-feira, 20/08;40%
AMPARO;3501905;SP;quarta-feira, 19/08;39%
AMPARO;3501905;SP;terça-feira, 18/08;41%
AMPARO;3501905;SP;segunda-feira, 17/08;40%
AMPARO;3501905;SP;domingo, 16/08;48%
AMPARO;3501905;SP;sábado, 15/08;41%
AMPARO;3501905;SP;sexta-feira, 14/08;41%
AMPARO;3501905;SP;quinta-feira, 13/08;38%
AMPARO;3501905;SP;quarta-feira, 12/08;37%
AMPARO;3501905;SP;terça-feira, 11/08;41%
AMPARO;3501905;SP;segunda-feira, 10/08;40%
AMPARO;3501905;SP;domingo, 09/08;46%
AMPARO;3501905;SP;sábado, 08/08;40%
AMPARO;3501905;SP;sexta-feira, 07/08;39%
AMPARO;3501905;SP;quarta-feira, 05/08;40%
AMPARO;3501905;SP;terça-feira, 04/08;39%
AMPARO;3501905;SP;segunda-feira, 03/08;40%
AMPARO;3501905;SP;domingo, 02/08;49%
AMPARO;3501905;SP;sábado, 01/08;39%
AMPARO;3501905;SP;sexta-feira, 31/07;39%
AMPARO;3501905;SP;quinta-feira, 30/07;40%
AMPARO;3501905;SP;quarta-feira, 29/07;41%
AMPARO;3501905;SP;terça-feira, 28/07;39%
AMPARO;3501905;SP;segunda-feira, 27/07;40%
AMPARO;3501905;SP;domingo, 26/07;48%
AMPARO;3501905;SP;sábado, 25/07;43%
AMPARO;3501905;SP;sexta-feira, 24/07;39%
AMPARO;3501905;SP;quinta-feira, 23/07;39%
AMPARO;3501905;SP;quarta-feira, 22/07;41%
AMPARO;3501905;SP;terça-feira, 21/07;40%
AMPARO;3501905;SP;segunda-feira, 20/07;41%
AMPARO;3501905;SP;domingo, 19/07;48%
AMPARO;3501905;SP;sábado, 18/07;44%
AMPARO;3501905;SP;sexta-feira, 17/07;41%
AMPARO;3501905;SP;quinta-feira, 16/07;40%
AMPARO;3501905;SP;quarta-feira, 15/07;40%
AMPARO;3501905;SP;terça-feira, 14/07;41%
AMPARO;3501905;SP;segunda-feira, 13/07;41%
AMPARO;3501905;SP;domingo, 12/07;47%
AMPARO;3501905;SP;sábado, 11/07;43%
AMPARO;3501905;SP;sexta-feira, 10/07;40%
AMPARO;3501905;SP;quinta-feira, 09/07;40%
AMPARO;3501905;SP;quarta-feira, 08/07;40%
AMPARO;3501905;SP;terça-feira, 07/07;40%
AMPARO;3501905;SP;segunda-feira, 06/07;40%
AMPARO;3501905;SP;domingo, 05/07;47%
AMPARO;3501905;SP;sábado, 04/07;41%
AMPARO;3501905;SP;sexta-feira, 03/07;40%
AMPARO;3501905;SP;quinta-feira, 02/07;40%
AMPARO;3501905;SP;quarta-feira, 01/07;40%
AMPARO;3501905;SP;terça-feira, 30/06;41%
AMPARO;3501905;SP;segunda-feira, 29/06;40%
AMPARO;3501905;SP;domingo, 28/06;47%
AMPARO;3501905;SP;sábado, 27/06;42%
AMPARO;3501905;SP;sexta-feira, 26/06;39%
AMPARO;3501905;SP;quinta-feira, 25/06;39%
AMPARO;3501905;SP;quarta-feira, 24/06;40%
AMPARO;3501905;SP;terça-feira, 23/06;40%
AMPARO;3501905;SP;segunda-feira, 22/06;40%
AMPARO;3501905;SP;domingo, 21/06;46%
AMPARO;3501905;SP;sábado, 20/06;43%
AMPARO;3501905;SP;sexta-feira, 19/06;40%
AMPARO;3501905;SP;quinta-feira, 18/06;39%
AMPARO;3501905;SP;quarta-feira, 17/06;41%
AMPARO;3501905;SP;terça-feira, 16/06;38%
AMPARO;3501905;SP;segunda-feira, 15/06;40%
AMPARO;3501905;SP;domingo, 14/06;47%
